Keyword;Avg. monthly searches;Cambio en los últimos tres meses;Cambio interanual;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);In account?;Searches: Nov 2023;Searches: Dec 2023;Searches: Jan 2024;Searches: Feb 2024;Searches: Mar 2024;Searches: Apr 2024;Searches: May 2024;Searches: Jun 2024;Searches: Jul 2024;Searches: Aug 2024;Searches: Sep 2024;Searches: Oct 2024;Searches: Nov 2024
fisura en perone;20;0%;-67%;Bajo;0;;;;30;20;20;30;20;10;10;10;10;20;10;10;10
estudios de abogados mas importantes de argentina;20;0%;-67%;Medio;64;$72,18;178,75;;30;20;10;20;20;20;20;10;20;20;10;20;10
estudios de abogados en cordoba capital;20;-50%;-50%;Medio;43;;;;20;40;50;10;10;10;30;10;10;10;20;10;10
estudio juridico trabaja con nosotros;20;100%;100%;Medio;36;;;;10;10;20;30;30;20;20;30;20;20;10;10;20
estudio juridico online;20;0%;0%;Alto;79;$153,16;552,72;;20;10;20;20;10;10;10;20;10;20;20;20;20
estudio juridico gestion legal;20;-33%;0%;Medio;51;$163,37;1694,97;;20;10;10;10;10;10;10;10;20;10;30;20;20
estudio juridico de abogados;20;0%;-50%;Medio;44;$79,52;250,33;;40;10;10;10;30;20;20;20;20;30;20;20;20
estudio juridico accidentes de trabajo;20;0%;-50%;Alto;75;$195,90;2271,92;;20;10;30;20;20;30;20;10;10;10;10;30;10
estudio de abogados cordoba;20;-33%;-50%;Alto;76;$106,41;300,31;;40;20;20;40;10;10;10;10;20;20;30;30;20
estudio de abogados argentina;20;0%;0%;Alto;86;$203,00;395,9;;10;10;10;10;10;20;20;10;10;20;10;10;10
estudio abogados laborales;20;-67%;-50%;Alto;78;$303,56;1191,07;;20;10;20;10;10;50;20;10;20;10;30;10;10
enfermedades que cubre la art;20;50%;-25%;Medio;46;$25,74;183,54;;40;20;20;10;10;20;20;20;20;20;20;30;30
enfermedad profesional indemnización;20;100%;0%;Medio;55;$59,58;143,42;;20;10;10;10;10;10;20;10;10;20;10;20;20
abogados de accidentes laborales;20;100%;100%;Alto;82;$172,64;1433,37;Y;10;20;20;20;20;30;20;20;20;20;10;20;20
enfermedad laboral argentina;20;0%;0%;Alto;67;$61,72;90,43;;10;10;10;10;10;10;30;20;10;20;10;10;10
en itinere;20;0%;50%;Bajo;11;$65,96;82,18;;20;20;20;20;30;30;30;20;30;20;30;30;30
en disconformidad art;20;-80%;-80%;Bajo;30;$43,85;122,93;;50;30;20;20;20;20;10;20;20;30;50;30;10
empresa de derecho;20;0%;100%;Medio;56;$97,20;648,92;;10;10;10;20;30;30;20;20;20;20;20;10;20
ejercicios protusión lumbar;20;100%;100%;Bajo;14;$10,23;33,09;;10;10;10;20;20;20;10;20;10;30;10;10;20
dolor l5 s1;20;0%;0%;Bajo;32;$30,63;66,76;;10;10;10;10;10;20;20;30;10;30;10;10;10
disco inflamado;20;100%;0%;Bajo;18;;;;20;20;30;10;20;30;10;10;10;20;10;10;20
disco espinal;20;0%;-67%;Bajo;0;;;;30;10;20;20;10;20;30;10;20;10;10;10;10
disco en la espalda;20;50%;50%;Bajo;10;;;;20;20;20;10;30;10;20;20;20;10;20;20;30
diferencias entre accidente laboral y enfermedad profesional;20;0%;-33%;Bajo;7;;;;30;20;10;10;20;20;20;10;10;10;20;30;20
dictamen srt;20;0%;0%;Bajo;0;;;;20;20;40;20;20;20;10;20;20;20;20;20;20
dictamen comisión médica;20;0%;0%;Bajo;0;;;;10;10;10;10;10;10;10;10;10;10;10;10;10
determinación de la incapacidad srt;20;0%;-50%;Medio;38;;;;20;10;10;20;20;10;10;10;10;0;10;10;10
desplazamiento de perone;20;0%;-50%;Bajo;0;;;;20;10;20;20;20;10;10;10;10;20;10;20;10
desplazamiento de disco;20;50%;50%;Bajo;15;$20,24;87,13;;20;30;30;20;30;20;30;20;20;30;20;30;30
despido injustificado indemnización;20;0%;0%;Bajo;23;$33,07;146,43;;20;30;20;10;50;40;30;20;20;10;20;20;20
despido indirecto que es;20;0%;0%;Bajo;9;;;;20;20;20;10;20;20;20;20;10;10;20;30;20
despido directo sin causa;20;-25%;0%;Bajo;25;$63,48;173,58;;30;20;10;20;20;20;20;30;20;20;40;30;30
despido con causa falsa;20;0%;-50%;Medio;62;;;;20;10;10;10;10;10;10;10;10;10;10;10;10
derecho herencias;20;-50%;-75%;Bajo;24;;;;40;30;10;10;30;20;20;20;10;30;20;10;10
derecho a abogado;20;0%;-50%;Bajo;2;;;;20;10;10;10;10;20;10;10;10;10;10;10;10
demanda a la art;20;0%;0%;Medio;38;$59,90;287,74;;10;10;10;30;10;20;20;10;10;10;10;10;10
definir despido;20;0%;100%;Bajo;14;$32,63;173,7;;10;10;20;10;30;20;20;20;20;20;20;30;20
declaratoria herederos;20;-33%;0%;Medio;42;$74,68;237,61;;20;20;20;10;20;20;30;30;40;20;30;30;20
declaratoria de herederos ejemplo;20;0%;-50%;Bajo;10;;;;20;20;10;10;20;20;20;10;10;10;10;10;10
causa de los accidentes;20;0%;-50%;Bajo;1;;;;20;10;10;10;20;30;70;20;20;20;10;10;10
casos de accidentes de trabajo;20;0%;-67%;Medio;36;$8,43;97,84;;30;20;10;10;20;50;20;20;10;20;10;10;10
casos de abogados;20;0%;0%;Bajo;16;;;;10;20;10;10;20;20;20;50;20;10;10;10;10
carta documento por despido sin causa;20;0%;0%;Bajo;33;$49,88;311,63;;20;30;30;20;30;20;40;20;20;20;20;20;20
carlos abogado;20;100%;100%;Bajo;30;$76,27;165,22;;10;30;20;20;30;40;10;30;20;30;10;20;20
calculo por indemnizacion por despido;20;0%;100%;Medio;44;$54,86;145;;20;40;20;20;40;30;20;10;40;30;40;20;40
calculo de indemnizacion por enfermedad profesional;20;0%;0%;Medio;57;$47,47;204,21;;10;40;30;20;20;20;20;10;20;10;10;30;10
cálculo de indemnización por accidente de tránsito;20;0%;0%;Bajo;32;$209,16;518,28;;20;10;0;10;10;10;20;20;20;20;20;20;20
calculo de incapacidad por accidente de transito;20;-33%;100%;Medio;36;$34,15;484,67;;10;10;10;20;20;30;10;10;20;20;30;20;20
calcular puntos de incapacidad;20;0%;-67%;Medio;45;;;;30;30;20;20;30;10;10;10;10;10;10;10;10
calcular porcentaje incapacidad;20;0%;0%;Bajo;29;$33,08;63,29;;10;20;30;20;10;10;30;20;20;10;10;20;10
calcular porcentaje de incapacidad art;20;-50%;0%;Medio;59;$48,88;203,31;;10;10;20;10;10;10;20;40;20;30;20;20;10
calcular porcentaje de discapacidad;20;-50%;-50%;Bajo;27;;;;20;10;30;20;20;10;10;10;10;20;20;10;10
calcular porcentaje de art;20;0%;0%;Alto;69;$41,25;205,72;;10;10;20;20;10;10;10;10;10;20;10;10;10
calcular incapacidad por accidente de transito;20;-50%;0%;Medio;51;$121,59;965,48;;10;10;10;10;10;20;20;10;10;20;20;20;10
calcular discapacidad art;20;100%;-33%;Medio;37;$36,56;93,92;;30;20;20;20;30;20;10;10;10;10;10;10;20
calculadora srt;20;-50%;-67%;Medio;43;$24,95;79,93;;30;20;30;20;30;30;30;20;30;30;20;20;10
calculadora por indemnización por despido;20;0%;100%;Medio;44;$54,86;145;;20;40;20;20;40;30;20;10;40;30;40;20;40
calculadora online indemnizacion por despido;20;0%;-60%;Medio;43;$48,34;262,45;;50;20;20;20;20;20;30;20;10;10;20;30;20
calculadora lrt;20;100%;33%;Bajo;23;$38,85;441,13;;30;20;20;20;10;40;20;20;10;20;20;20;40
calculadora de indemnizacion seguros y riesgos;20;0%;0%;Bajo;18;;;;10;10;10;10;20;10;10;10;10;10;10;10;10
calculadora de indemnización por fallecimiento;20;-50%;-67%;Bajo;18;;;;30;10;20;30;20;20;10;20;10;30;20;10;10
calculador indemnizaciones despido;20;0%;-67%;Medio;40;$81,39;269,52;;30;40;10;20;40;30;20;20;10;10;10;30;10
asesoramiento legal laboral gratuito;20;100%;-33%;Alto;91;$157,08;483,33;;30;20;30;30;20;20;10;20;10;10;10;10;20
asesoramiento legal gratuito online;20;0%;0%;Alto;95;$97,47;439,06;;10;20;20;10;20;10;20;10;10;10;10;10;10
art rechazo de siniestro;20;50%;50%;Medio;54;$57,97;218,72;;20;20;10;10;10;20;20;10;10;20;20;20;30
art quien paga el sueldo;20;0%;-50%;Medio;47;;;;20;10;20;10;10;20;30;10;20;20;10;10;10
art que hacer en caso de accidente;20;100%;100%;Medio;44;$55,79;156,77;;10;10;10;10;10;20;20;20;20;40;10;20;20
art provincia indemnizaciones;20;100%;100%;Medio;63;$43,21;297,18;;10;20;20;10;10;10;10;10;10;10;10;10;20
art porcentaje;20;0%;0%;Medio;43;$66,25;364,52;;20;30;20;10;10;10;30;20;10;10;20;20;20
art paga sueldo empleado;20;0%;50%;Medio;35;$56,25;324,34;;20;10;30;30;20;20;20;20;30;20;30;20;30
art paga por accidente;20;0%;-67%;Medio;66;$65,94;214,42;;30;20;10;20;10;10;10;20;20;10;10;20;10
art discapacidad;20;0%;-67%;Medio;49;$33,44;85,81;;30;10;10;20;20;20;20;10;10;10;10;10;10
art denuncia de accidente;20;0%;200%;Medio;57;$66,79;232,06;;10;10;40;70;50;20;10;10;10;30;30;50;30
art denuncia accidente trabajo;20;-50%;-89%;Medio;60;$62,90;204,21;;90;30;10;10;10;10;10;10;10;20;20;10;10
art como se paga;20;0%;-50%;Alto;69;$102,11;408,86;;20;10;20;10;10;20;20;10;20;10;10;10;10
art aseguradora de riesgo de trabajo ley;20;0%;-86%;Medio;63;$57,25;649,49;;70;40;10;10;20;10;20;10;10;10;10;10;10
accidente riesgo de trabajo;20;0%;-50%;Medio;42;$61,26;488,95;;40;20;30;20;10;30;20;20;20;30;20;30;20
accidente laboral y enfermedad profesional;20;100%;-50%;Medio;40;$34,01;315,89;;40;20;10;10;30;40;40;20;10;30;10;20;20
accidente laboral ley;20;0%;100%;Bajo;18;$86,51;154,03;;10;10;10;20;20;10;40;20;20;20;20;20;20
accidente de transito indemnizacion;20;0%;200%;Medio;63;$68,46;678,56;;10;10;10;10;20;10;10;10;10;30;30;30;30
accidente de trabajo que es;20;0%;0%;Bajo;16;$59,64;239,74;;20;20;10;10;20;30;20;30;30;20;20;20;20
abombamiento de disco;20;50%;50%;Bajo;10;;;;20;10;20;10;10;10;10;10;20;10;20;20;30
abogados y medicos;20;-33%;0%;Bajo;11;;;;20;10;20;10;10;20;40;30;30;20;30;10;20
abogados whatsapp;20;-75%;-50%;Alto;92;$121,75;479,78;;20;10;20;10;20;10;20;10;10;10;40;20;10
abogados seguros autos;20;0%;-50%;Alto;95;$486,22;1417,72;;20;10;20;20;20;20;30;20;20;10;10;20;10
abogados para seguros de autos;20;-50%;-67%;Alto;93;$530,16;1733,57;;30;30;20;30;20;10;20;10;10;20;20;20;10
abogados para art;20;0%;-50%;Alto;91;$729,47;2908,25;;20;10;20;10;20;20;20;20;40;10;10;10;10
abogados on line;20;100%;0%;Medio;66;$117,40;990,44;;20;20;30;20;20;20;30;20;10;10;10;20;20
abogados laborales en parana;20;0%;-67%;Medio;60;$60,77;173,34;;30;30;50;30;10;30;30;40;70;20;10;40;10
abogados gratis de trabajo;20;100%;-33%;Alto;88;$316,66;1099,32;;30;20;20;20;20;10;10;10;10;10;10;20;20
abogados especializados;20;100%;0%;Medio;39;$62,42;205,38;;20;10;20;20;20;20;30;10;10;20;10;20;20
abogados especialistas en sucesiones argentina;20;-25%;50%;Alto;89;$300,24;1525,41;;20;10;10;30;20;30;30;10;30;40;40;40;30
abogados especialistas en herencias;20;-50%;0%;Alto;77;$338,30;2203,1;;10;20;30;40;20;20;10;10;30;20;20;30;10
abogados en capital;20;-33%;100%;Medio;66;$91,67;366,79;;10;30;20;10;30;20;20;50;30;20;30;30;20
abogados de trabajo gratis;20;100%;-33%;Alto;88;$316,66;1099,32;;30;20;20;20;20;10;10;10;10;10;10;20;20
abogados capital;20;-33%;100%;Medio;66;$91,67;366,79;;10;30;20;10;30;20;20;50;30;20;30;30;20
abogado nuñez;20;-50%;-50%;Alto;77;$70,85;414,37;;20;20;20;10;10;30;30;40;10;10;20;10;10
abogado legal;20;-50%;-50%;Medio;57;$122,19;556,35;;20;30;10;30;20;20;20;10;20;20;20;20;10
abogado laboralista que hace;20;0%;100%;Medio;37;$131,16;379,89;;10;10;20;20;20;10;30;10;20;20;20;20;20
abogado laboralista para empresas;20;0%;0%;Alto;69;$313,15;1213,15;;10;10;20;30;10;20;20;10;10;10;10;10;10
abogado laboral que hace;20;0%;100%;Medio;37;$131,16;379,89;;10;10;20;20;20;10;30;10;20;20;20;20;20
abogado laboral que es;20;-50%;-67%;Medio;38;$57,38;258,96;;30;20;20;10;20;10;10;10;20;10;20;20;10
abogado laboral para empresas;20;0%;0%;Alto;69;$313,15;1213,15;;10;10;20;30;10;20;20;10;10;10;10;10;10
abogado laboral en línea gratis;20;0%;0%;Alto;74;$73,80;1136,75;;10;20;20;10;10;10;10;10;10;10;10;10;10
abogado exitoso;20;-50%;-50%;Bajo;27;;;;20;20;20;20;40;30;10;20;10;20;20;10;10
abogado especialista en derecho laboral;20;0%;0%;Alto;68;$189,29;601,56;;10;20;20;30;70;10;30;10;10;10;10;10;10
abogado de trabajo gratis;20;100%;-33%;Alto;88;$316,66;1099,32;;30;20;20;20;20;10;10;10;10;10;10;20;20
abogado de sucesion;20;-25%;50%;Alto;80;$164,72;1311,97;;20;10;20;30;20;20;50;30;50;30;40;30;30
abogado de accidentes laborales;20;100%;100%;Alto;82;$172,64;1433,37;;10;20;20;20;20;30;20;20;20;20;10;20;20
abogado de accidente de trabajo;20;0%;100%;Alto;68;$160,76;2046,64;;10;20;20;30;20;20;20;30;10;20;20;30;20
abogado consulta gratis whatsapp;20;40%;600%;Alto;82;$72,00;317;;10;10;10;10;10;10;30;10;20;20;50;90;70
abogado choque;20;100%;0%;Alto;90;$1.221,67;4776,47;;20;10;10;10;20;40;30;30;40;30;10;20;20
abogacia trabajo;20;-33%;0%;Bajo;16;$190,82;874,88;;20;10;10;10;10;20;30;30;20;40;30;30;20
abo abogados;20;-33%;100%;Medio;59;$106,41;286,34;;10;10;10;20;10;10;20;30;10;20;30;10;20
accidente en el trabajo que hacer;10;0%;0%;Alto;86;;;Y;10;10;10;10;10;10;10;10;10;10;10;10;10
verificar si es abogado;10;∞;∞;Bajo;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;10
ver tibia y perone;10;0%;0%;Bajo;0;;;;10;10;10;10;10;10;0;10;10;10;10;10;10
ver si es abogado;10;∞;∞;Bajo;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;10
ver abogados;10;∞;0%;Alto;79;;;;10;10;10;10;0;10;10;10;0;0;0;0;10
valor del punto de incapacidad por accidente de tránsito 2020;10;0%;0%;Desconocido;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0
valor dedos de la mano;10;0%;0%;Bajo;2;;;;10;10;10;10;10;10;10;10;10;10;10;10;10
valor de un dedo por accidente de trabajo;10;0%;0%;Medio;65;$40,73;89,8;;10;10;10;10;10;10;10;10;10;20;10;20;10
valor de indemnizacion por perdida de dedos;10;-100%;0%;Desconocido;;;;;0;0;0;0;10;0;0;0;10;0;10;10;0
valor de indemnizacion por accidente laboral;10;0%;0%;Medio;57;;;;10;10;10;10;10;10;10;10;10;10;10;10;10
valor de dedos de la mano;10;0%;0%;Bajo;6;;;;10;10;10;10;10;10;10;10;10;10;10;10;10
valor de cada dedo en argentina;10;"""";0%;Bajo;14;;;;10;10;0;0;10;0;10;0;10;0;0;0;10
una hernia se considera accidente de trabajo;10;-100%;-100%;Desconocido;;;;;10;0;0;0;10;10;10;10;0;0;10;10;0
una hernia es una enfermedad laboral;10;-100%;-100%;Desconocido;;;;;10;10;10;10;0;0;10;0;10;10;10;10;0
una hernia en la espalda;10;0%;0%;Bajo;0;;;;10;10;0;10;10;0;10;10;0;0;10;10;10
una buena abogada;10;0%;0%;Medio;54;;;;10;10;10;0;0;0;10;10;10;10;10;10;10
un ejemplo de accidente laboral;10;0%;0%;Desconocido;;;;;0;10;0;10;10;10;10;10;0;0;0;0;0
un despido injustificado;10;0%;-100%;Desconocido;;;;;10;0;0;0;0;10;10;0;0;0;0;10;0
accidente in itinere indemnización;10;-100%;-100%;Desconocido;;;;Y;10;10;10;10;10;0;0;0;10;10;10;10;0
un despido;10;0%;∞;Medio;43;;;;0;10;10;0;10;10;10;10;10;10;10;0;10
un derecho laboral;10;0%;0%;Bajo;14;;;;10;10;0;0;10;10;10;10;0;10;10;10;10
un buen abogado;10;-100%;-100%;Desconocido;;;;;10;10;10;10;10;10;10;10;10;10;10;10;0
un accidente laboral es;10;0%;"""";Medio;38;;;;0;10;0;0;10;10;10;10;0;0;10;10;10
un accidente laboral;10;0%;0%;Medio;43;;;;10;10;10;10;10;10;10;10;10;10;10;10;10
un accidente in itinere es;10;0%;100%;Medio;40;$65,92;123,6;;10;0;0;10;10;10;10;10;10;10;20;10;20
un accidente in itinere;10;100%;100%;Bajo;8;;;;10;10;10;10;10;10;10;10;10;10;10;10;20
un accidente de trabajo;10;0%;0%;Bajo;24;;;;10;10;0;10;10;10;10;10;10;10;10;10;10
un abogado gratis;10;0%;-100%;Desconocido;;;;;10;0;0;0;10;10;10;0;10;10;0;10;0
un abogado donde puede trabajar;10;0%;0%;Bajo;7;;;;10;10;10;10;10;0;10;0;10;10;10;0;10
tuve un accidente laboral que debo hacer;10;100%;100%;Alto;71;$66,52;332,13;;10;10;10;10;10;10;10;10;10;10;10;10;20
tuve un accidente laboral me corresponde indemnización;10;0%;0%;Alto;77;$87,99;446,96;;10;10;10;10;10;10;30;10;10;10;10;20;10
tuve un accidente en el trabajo que hago;10;0%;0%;Alto;86;;;;10;10;10;10;10;10;0;10;0;10;10;10;10
tuve un accidente de trabajo y no tengo seguro;10;-100%;0%;Desconocido;;;;;0;10;10;0;0;0;0;0;0;10;10;10;0
tuve un accidente de trabajo que debo hacer;10;"""";"""";Medio;57;;;;0;0;10;10;10;10;10;0;0;10;0;10;10
tuve un accidente de trabajo;10;0%;0%;Alto;86;;;;10;10;10;10;10;10;10;10;10;10;10;10;10
tus abogados de accidentes;10;0%;0%;Desconocido;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0
tu accidente;10;∞;∞;Alto;86;;;;0;0;0;0;0;0;10;0;0;10;0;0;10
tu abogado online;10;-100%;0%;Desconocido;;;;;0;10;10;10;10;10;10;10;0;10;10;0;0
triple fractura de tibia y perone;10;0%;0%;Bajo;7;;;;10;10;10;10;10;10;20;10;10;10;10;20;10
trabajo in itinere;10;0%;0%;Bajo;6;;;;10;10;10;10;20;20;20;20;10;20;10;10;10
trabajo de abogado laboral;10;∞;0%;Bajo;0;;;;10;10;0;0;10;10;10;0;10;0;0;0;10
trabajo de abogado en argentina;10;0%;0%;Medio;33;;;;10;10;10;10;10;10;10;10;10;10;10;10;10
trabajo abogado online;10;∞;0%;Alto;71;;;;10;10;0;10;10;10;10;10;10;10;0;10;10
trabajo abogado buenos aires;10;0%;0%;Bajo;19;;;;10;20;10;20;10;20;10;10;10;10;10;20;10
trabajar con protusión discal;10;"""";"""";Bajo;14;;;;0;0;10;10;0;0;0;10;0;0;0;10;10
tipos de daños laborales;10;-100%;0%;Desconocido;;;;;0;10;10;0;10;10;10;0;0;10;10;0;0
tipos de accidentes industriales;10;∞;∞;Bajo;0;;;;0;10;10;10;0;10;10;10;10;10;0;0;10
tipo de despido laboral;10;0%;0%;Bajo;24;;;;10;10;10;10;10;10;10;10;10;10;10;20;10
tipo de despido;10;0%;0%;Bajo;4;;;;10;10;10;10;10;10;10;10;10;10;10;10;10
tiene cura una hernia discal;10;0%;0%;Alto;71;;;;10;0;10;10;10;10;10;10;10;10;10;10;10
tiempo para denunciar un accidente de trabajo;10;0%;0%;Medio;37;$65,14;204,46;;10;10;10;10;10;10;10;10;10;10;10;10;10
tiempo para declarar un accidente de trabajo;10;0%;-100%;Desconocido;;;;;10;0;0;0;10;0;10;0;0;0;0;10;0
tendinitis se considera accidente laboral;10;∞;0%;Alto;71;;;;10;0;10;0;10;10;10;10;10;10;0;0;10
tendinitis accidente laboral;10;0%;0%;Medio;43;;;;10;10;10;10;10;10;10;10;10;10;10;10;10
teléfonos de abogados laborales;10;0%;0%;Alto;71;$572,96;2166,67;;10;10;10;0;10;10;10;0;10;10;10;10;10
teléfono de abogados laborales;10;0%;0%;Alto;71;$572,96;2166,67;;10;10;10;0;10;10;10;0;10;10;10;10;10
telefono abogado laboral gratis;10;-100%;-100%;Desconocido;;;;;10;10;10;10;10;0;10;10;0;0;10;0;0
te indemnizan por accidente laboral;10;0%;0%;Medio;60;;;;10;10;10;10;10;10;10;10;10;10;10;10;10
tarifas abogados laboralistas;10;-100%;0%;Desconocido;;;;;0;10;0;0;0;10;10;0;10;0;10;0;0
tarifas abogado laboralista;10;0%;0%;Desconocido;;;;;0;0;0;0;10;10;10;0;10;10;0;0;0
tabla para liquidar indemnizaciones por pérdida de capacidad laboral;10;0%;-100%;Desconocido;;;;;10;0;10;10;0;10;0;10;0;10;0;10;0
tabla indemnización por accidente;10;100%;100%;Medio;56;$51,32;680,26;;10;10;10;10;10;10;20;10;20;20;10;20;20
tabla indemnización accidente laboral;10;0%;"""";Bajo;21;;;;0;10;10;10;0;10;0;10;0;0;10;0;10
tabla de valores de indemnizacion por accidente;10;0%;0%;Medio;39;;;;10;10;10;10;10;10;20;10;10;10;10;10;10
tabla de indemnizaciones por accidente laboral;10;0%;-100%;Desconocido;;;;;10;10;0;0;0;0;10;0;10;0;0;10;0
tabla de indemnizaciones por accidente de trabajo;10;100%;300%;Medio;53;$40,46;166,3;;10;10;10;10;10;10;20;20;30;10;20;40;40
tabla de indemnización por pérdida de capacidad laboral 2021;10;0%;0%;Desconocido;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0
tabla de indemnización por pérdida de capacidad laboral;10;-100%;0%;Desconocido;;;;;0;0;0;0;0;0;0;0;0;0;10;0;0
tabla de indemnización por enfermedad laboral;10;0%;0%;Medio;66;$66,19;440,2;;10;10;10;10;10;10;10;10;0;10;10;10;10
tabla de indemnización por accidente;10;0%;"""";Medio;62;;;;0;10;10;10;10;10;10;0;10;10;10;10;10
tabla de indemnización arl;10;0%;0%;Desconocido;;;;;0;0;0;0;0;0;10;0;0;0;0;0;0
tabla de baremo 2021 argentina;10;-100%;0%;Desconocido;;;;;0;0;10;0;10;10;0;10;0;0;10;0;0
tabla de accidentes laborales;10;0%;0%;Bajo;5;;;;10;10;10;10;20;10;10;10;20;10;10;10;10
tabla de accidentes;10;0%;0%;Bajo;0;;;;10;10;10;10;10;0;10;10;10;10;10;10;10
tabla baremo 2021 argentina;10;-100%;-100%;Desconocido;;;;;10;10;10;10;10;10;10;10;0;10;10;10;0
sus abogados;10;0%;0%;Bajo;14;;;;10;10;0;0;10;10;10;10;10;10;10;10;10
sueldo de una abogada;10;∞;0%;Bajo;0;;;;10;10;10;10;0;0;10;10;0;0;0;0;10
sueldo de los abogados;10;-100%;0%;Desconocido;;;;;0;10;10;0;10;10;10;0;10;10;10;0;0
srt ley de riesgos del trabajo;10;0%;0%;Bajo;13;;;;10;10;10;0;10;10;10;10;10;10;10;10;10
sintomas protusion cervical;10;0%;"""";Bajo;29;;;;0;10;10;10;10;0;0;10;10;10;10;10;10
sintomas de un disco de la columna dañado;10;"""";"""";Bajo;0;;;;0;10;0;0;0;0;0;0;0;10;0;0;10
simulador de accidentes laborales;10;0%;0%;Medio;55;$50,28;126,13;;10;20;20;20;10;10;10;10;20;10;10;10;10
signos de hernia lumbar;10;0%;-100%;Desconocido;;;;;10;0;10;0;0;0;10;10;10;10;0;10;0
si un trabajador se accidenta en el trabajo;10;0%;-100%;Desconocido;;;;;10;10;0;0;0;0;10;0;0;10;0;0;0
si un abogado;10;0%;0%;Bajo;0;;;;10;10;10;10;10;10;10;10;10;10;10;10;10
si tienes un accidente laboral;10;"""";"""";Medio;43;;;;0;10;10;10;10;0;10;10;10;10;0;10;10
si tengo un accidente laboral que debo hacer;10;0%;0%;Medio;43;;;;10;10;10;10;10;10;10;10;10;10;10;10;10
si tengo un accidente laboral me pueden despedir;10;-100%;-100%;Desconocido;;;;;10;10;10;10;10;10;10;10;10;10;10;10;0
si tengo un accidente de trabajo quien me paga;10;0%;0%;Medio;50;;;;10;10;10;0;10;10;10;10;10;10;10;10;10
si tengo un accidente de trabajo que debo hacer;10;"""";"""";Alto;76;$82,98;481,17;;0;10;10;10;10;10;0;0;10;10;0;0;10
si tengo accidente laboral quien me paga;10;0%;0%;Alto;86;;;;10;10;0;10;0;10;10;10;10;0;10;0;10
si te despiden;10;0%;0%;Medio;38;;;;10;10;10;10;10;10;10;10;10;10;10;10;10
si me despiden;10;0%;0%;Medio;43;;;;10;10;10;10;10;20;10;10;10;10;10;10;10
si me accidento en el trabajo;10;0%;0%;Desconocido;;;;;0;0;10;10;10;0;0;0;10;10;0;0;0
si el despido es justificado que se paga;10;∞;0%;Alto;71;;;;10;10;0;0;0;10;10;10;10;10;0;0;10
servicios que ofrece un abogado;10;-100%;-100%;Desconocido;;;;;10;10;10;10;10;10;10;10;0;10;10;10;0
servicios legales online;10;-100%;0%;Desconocido;;;;;0;0;10;10;10;10;0;10;10;10;10;0;0
servicios legales especializados;10;0%;0%;Desconocido;;;;;0;0;0;0;0;0;10;0;0;0;0;10;0
servicios legales abogados;10;0%;∞;Medio;50;;;;0;10;10;10;10;10;10;10;10;10;10;10;10
servicios juridicos que es;10;0%;0%;Bajo;14;;;;10;10;10;10;10;10;10;10;10;10;10;10;10
servicios juridicos online;10;0%;0%;Alto;86;;;;10;10;10;10;10;0;10;10;10;10;10;10;10
servicios de abogacia;10;0%;0%;Alto;86;;;;10;10;10;10;0;10;10;10;10;10;10;10;10
servicios abogados;10;0%;0%;Alto;79;$213,50;504,34;;10;20;10;10;20;10;20;10;10;20;10;10;10
servicios abogacia;10;0%;-100%;Desconocido;;;;;10;0;0;0;0;10;10;0;0;0;0;0;0
servicio de abogados gratis;10;0%;0%;Alto;73;$112,32;253,34;;10;10;10;10;10;10;10;10;10;10;10;10;10
secuelas por accidente laboral;10;0%;0%;Bajo;31;;;;10;10;10;10;0;10;10;10;10;10;10;10;10
secuelas accidente laboral;10;0%;0%;Alto;86;;;;10;0;10;0;10;0;10;10;0;10;10;10;10
se puede despedir sin causa;10;0%;0%;Medio;43;$3,21;333,56;;10;10;10;10;10;10;10;10;10;10;10;10;10
se puede despedir por whatsapp;10;-100%;-100%;Desconocido;;;;;10;0;10;10;10;10;10;10;10;10;10;0;0
se puede despedir a un trabajador por faltas injustificadas;10;0%;-100%;Desconocido;;;;;10;10;10;10;0;10;10;10;10;0;0;0;0
se puede despedir a un empleado;10;0%;0%;Medio;57;;;;10;10;10;10;10;10;10;10;10;10;10;10;10
se paga indemnizacion por despido justificado;10;0%;0%;Bajo;23;;;;10;10;20;10;10;10;10;10;10;10;10;10;10
se operan las hernias discales;10;0%;0%;Bajo;4;;;;10;10;10;10;10;10;10;10;10;10;10;10;10
se entiende por accidente de trabajo;10;0%;0%;Desconocido;;;;;0;0;0;0;0;0;10;0;0;0;0;0;0
se considera accidente in itinere;10;0%;∞;Bajo;7;;;;0;0;0;0;0;0;0;0;0;0;10;10;10
se considera accidente de trabajo in itinere;10;0%;0%;Desconocido;;;;;0;10;0;0;0;10;10;0;0;10;0;10;0
se considera accidente de trabajo;10;0%;-50%;Bajo;8;;;;20;10;10;10;10;20;10;10;10;30;10;30;10
salario abogado laboralista;10;0%;0%;Desconocido;;;;;0;0;0;0;10;0;0;0;0;0;0;0;0
saber si es abogado;10;0%;0%;Medio;43;;;;10;0;0;10;10;0;10;0;10;0;10;0;10
