Keyword MarinPistacchia;;;;;;;
1 de julio de 2023 - 30 de junio de 2024;;;;;;;
;;;;;;;
Keyword;Avg. monthly searches;Cambio en los últimos tres meses;Cambio interanual;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range)
hernia dorsal tratamiento;50;0%;0%;Bajo;10;10.14;37.39
hernia en brazo;50;0%;0%;Bajo;0;;
hernia en c5 y c6;50;0%;0%;Bajo;14;;
hernia en cadera;50;0%;0%;Bajo;6;;
hernia en cervical;50;0%;0%;Bajo;27;10.14;18.70
hernia en cintura;50;0%;0%;Bajo;0;;
hernia en columna cervical;50;0%;0%;Bajo;17;11.13;41.12
hernia en columna tratamiento;50;0%;0%;Desconocido;;;
hernia en disco cervical;50;0%;0%;Bajo;7;;
hernia en el cuello causas;50;0%;0%;Bajo;6;;
hernia en el cuello cervical;50;0%;0%;Bajo;11;;
hernia en el cuello tratamiento;50;0%;0%;Bajo;21;;
hernia en el disco cervical;50;0%;0%;Bajo;0;;
hernia en el hombro;50;0%;0%;Bajo;6;;
hernia en el nervio ciatico;50;0%;0%;Bajo;8;35.01;136.70
hernia en el pie;50;0%;0%;Bajo;0;;
hernia en el sacro;50;0%;0%;Bajo;3;;
hernia en el sacro sintomas;50;0%;0%;Bajo;19;;
hernia en l4;50;0%;-100%;Desconocido;;;
hernia en l4 y l5;50;0%;0%;Bajo;8;;
hernia en l5;50;0%;0%;Bajo;14;;
hernia en l5 s1;50;0%;0%;Bajo;10;;
hernia en l5 y s1;50;0%;0%;Bajo;2;;
hernia en la cadera derecha;50;0%;0%;Bajo;0;;
hernia en la cadera izquierda;50;0%;0%;Bajo;2;;
hernia en la cervical;50;0%;0%;Bajo;14;10.58;41.04
hernia en la cervical causas;50;0%;0%;Bajo;0;;
hernia en la cervical sintomas;50;0%;0%;Bajo;8;;
hernia en la ciatica;50;0%;0%;Bajo;0;;
hernia en la columna cervical sintomas;50;0%;∞;Medio;46;12.94;41.62
hernia en la columna dorsal sintomas;50;0%;-100%;Desconocido;;;
hernia en la columna l4 y l5;50;0%;-100%;Desconocido;;;
hernia en la columna lumbar tratamiento;50;0%;0%;Medio;57;;
hernia en la columna operacion;50;0%;0%;Bajo;29;;
hernia en la columna que es;50;0%;0%;Bajo;15;9.35;41.71
hernia en la espalda alta;50;0%;0%;Bajo;2;;
hernia en la espalda alta sintomas;50;0%;0%;Bajo;29;;
hernia en la espalda baja sintomas;50;0%;0%;Bajo;12;3.57;41.40
hernia en la espalda como se cura;50;0%;0%;Bajo;0;;
hernia en la espalda sintomas;50;0%;0%;Bajo;11;12.17;41.28
hernia en la l4 y l5;50;0%;0%;Bajo;8;;
hernia en la l5;50;0%;0%;Bajo;19;;
hernia en la l5 lumbar;50;0%;-100%;Desconocido;;;
hernia en la l5 s1;50;0%;0%;Bajo;7;;
hernia en la lumbar;50;0%;0%;Bajo;11;;
hernia en la parte baja de la espalda;50;0%;0%;Bajo;20;;
hernia en la pierna síntomas;50;0%;0%;Bajo;0;;
hernia en la quinta vertebra lumbar;50;0%;0%;Bajo;18;17.90;53.71
hernia en la vertebra;50;0%;0%;Bajo;5;;
hernia en la zona lumbar;50;0%;0%;Bajo;23;;
hernia en las vertebras;50;0%;0%;Bajo;13;15.27;85.91
hernia en los discos;50;0%;0%;Bajo;14;;
hernia en los discos de la columna;50;0%;0%;Bajo;25;;
hernia en los discos de la columna tratamiento;50;0%;-100%;Desconocido;;;
hernia en los discos de la espalda;50;0%;0%;Desconocido;;;
hernia en los huesos;50;0%;∞;Bajo;0;;
hernia en lumbar;50;0%;0%;Bajo;6;;
hernia en lumbar 4 y 5;50;0%;0%;Bajo;18;;
hernia en sacro;50;0%;0%;Bajo;10;;
hernia en vertebras lumbares;50;0%;0%;Bajo;29;;
hernia en zona lumbar;50;0%;0%;Alto;71;;
hernia enfermedad profesional;50;0%;0%;Bajo;18;;
hernia entre l4 y l5;50;0%;0%;Bajo;8;;
hernia espalda alta sintomas;50;0%;0%;Bajo;1;;
hernia espalda baja sintomas;50;0%;0%;Bajo;12;3.57;41.40
hernia espinal;50;0%;0%;Bajo;12;18.70;41.12
hernia extruida;50;0%;0%;Bajo;8;10.14;41.14
hernia extruida l5 s1;50;0%;0%;Bajo;29;;
hernia extruida tratamiento;50;0%;0%;Bajo;31;15.93;83.87
hernia foraminal derecha;50;0%;0%;Medio;43;;
hernia hombro;50;0%;0%;Bajo;0;;
hernia intervertebral;50;0%;0%;Bajo;0;;
hernia l1;50;0%;0%;Bajo;19;;
hernia l1 l2;50;0%;0%;Bajo;24;;
hernia l1 s5;50;0%;0%;Bajo;11;;
hernia l3;50;0%;∞;Bajo;13;;
hernia l3 l4;50;0%;0%;Bajo;8;;
hernia l3 l4 l5 s1;50;0%;∞;Bajo;7;;
hernia l4;50;0%;0%;Bajo;19;;
hernia l4 l5 l5 s1;50;0%;0%;Bajo;18;25.31;41.75
hernia l4 l5 s1;50;0%;0%;Bajo;18;25.31;41.75
hernia l4 y l5;50;0%;0%;Bajo;6;;
hernia l5;50;0%;0%;Bajo;16;41.04;107.73
hernia l5 l4;50;0%;-100%;Desconocido;;;
hernia l5 l6;50;0%;0%;Bajo;29;;
hernia l5 s1 ejercicios;50;0%;0%;Bajo;10;;
hernia lumbalgia;50;0%;0%;Bajo;11;;
hernia lumbar causas;50;0%;0%;Bajo;10;;
hernia lumbar como se cura;50;0%;0%;Bajo;18;;
hernia lumbar discal;50;0%;0%;Bajo;18;;
hernia lumbar enfermedad profesional chile;50;0%;0%;Desconocido;;;
hernia lumbar l3 l4;50;0%;0%;Bajo;7;;
hernia lumbar l4 l5;50;0%;0%;Bajo;10;22.83;63.00
hernia lumbar l5;50;0%;0%;Bajo;13;;
hernia lumbar l5 s1;50;0%;0%;Bajo;14;26.05;58.24
hernia lumbar l5 s1 tratamiento;50;0%;∞;Bajo;29;;
hernia lumbar que es;50;0%;0%;Bajo;15;14.20;41.61
hernia lumbar resonancia;50;0%;0%;Bajo;4;;
hernia parte baja de la espalda;50;0%;0%;Bajo;4;;
hernia pierna derecha;50;0%;0%;Bajo;7;;
hernia pierna izquierda;50;0%;0%;Bajo;5;;
hernia posterior;50;0%;0%;Bajo;3;;
hernia posterolateral izquierda;50;0%;0%;Bajo;0;;
hernia resonancia;50;0%;0%;Bajo;0;;
hernia rodilla;50;0%;0%;Bajo;7;;
hernia s1;50;0%;0%;Bajo;14;;
hernia s1 l5;50;0%;0%;Bajo;11;;
hernia s4 s5;50;0%;0%;Desconocido;;;
hernia s5 l1;50;0%;0%;Bajo;11;;
hernia sacro;50;0%;0%;Bajo;3;;
hernia sacro lumbar;50;0%;0%;Bajo;17;18.70;81.02
hernia se cura sola;50;0%;0%;Bajo;2;;
hernia tipo protrusion;50;0%;0%;Bajo;14;;
hernia vertebral;50;0%;0%;Bajo;13;15.27;85.91
hernia vertebral sintomas;50;0%;0%;Desconocido;;;
hernia y dolor de pierna;50;0%;0%;Bajo;0;;
hernia y protusion;50;0%;0%;Bajo;6;;
hernia zona lumbar;50;0%;0%;Alto;71;;
herniadedisco;50;0%;-90%;Bajo;6;;
herniados;50;0%;∞;Bajo;0;;
hernias discales en el cuello;50;0%;0%;Bajo;13;18.70;103.14
hernias discales porque se producen;50;0%;0%;Bajo;10;;
hernias discales que es;50;0%;0%;Bajo;14;;
hernias en columna vertebral;50;0%;0%;Bajo;6;;
hernias en el coxis;50;0%;0%;Bajo;7;10.03;41.40
hernias en la columna lumbar;50;0%;0%;Bajo;10;11.50;41.40
hernias en los discos de la columna;50;0%;0%;Bajo;25;;
hernias en los discos de la columna vertebral;50;0%;-100%;Desconocido;;;
hernias lumbares operacion;50;0%;0%;Bajo;16;;
honorarios abogados srt;50;0%;0%;Bajo;6;;
hueso perone tobillo;50;0%;0%;Bajo;0;;
in itinere accidente de trabajo;50;0%;0%;Bajo;29;;
in itinere accidente laboral;50;0%;0%;Desconocido;;;
in itinere art;50;0%;-90%;Bajo;18;43.69;280.22
incapacidad art calculadora;50;0%;0%;Medio;39;28.38;157.60
incapacidad dedo pulgar;50;0%;0%;Bajo;29;23.02;118.10
incapacidad del trabajador;50;0%;0%;Bajo;12;;
incapacidad ilpp;50;0%;0%;Bajo;9;;
incapacidad laboral argentina;50;0%;0%;Bajo;32;27.54;96.08
incapacidad laboral en argentina;50;0%;0%;Medio;40;36.28;92.70
incapacidad laboral parcial permanente;50;0%;0%;Bajo;23;;
incapacidad laboral permanente argentina;50;0%;0%;Bajo;33;25.76;187.83
incapacidad laboral permanente parcial;50;0%;0%;Bajo;16;29.75;355.21
incapacidad laboral por hernia discal;50;0%;0%;Medio;43;;
incapacidad laboral porcentajes;50;0%;0%;Bajo;27;23.78;69.99
incapacidad laboral temporaria ejemplos;50;0%;0%;Bajo;9;31.74;96.14
incapacidad laboral temporaria indemnización;50;0%;0%;Medio;33;;
incapacidad permanente hernia discal;50;0%;-100%;Desconocido;;;
incapacidad permanente por hernia discal;50;0%;-100%;Desconocido;;;
incapacidad por accidente;50;0%;0%;Medio;52;;
incapacidad por accidente laboral como se paga;50;0%;0%;Desconocido;;;
incapacidad por fractura de dedo;50;0%;∞;Bajo;29;;
incapacidad por fractura de peroné;50;0%;0%;Bajo;30;;
incapacidad por fractura de tibia y perone;50;0%;0%;Medio;45;32.55;329.77
incapacidad por fractura de tobillo;50;0%;∞;Bajo;14;;
incapacidad por hernia;50;0%;0%;Desconocido;;;
incapacidad por hernia cervical;50;0%;0%;Bajo;29;;
incapacidad por hernia de disco;50;0%;0%;Medio;33;36.88;55.17
incapacidad por hernia discal;50;0%;0%;Medio;39;36.28;98.51
incapacidad por hernia discal cervical;50;0%;∞;Bajo;14;;
incapacidad porcentaje;50;0%;0%;Bajo;24;;
incapacidad temporaria;50;0%;0%;Bajo;10;36.00;47.61
incapacidades por riesgos de trabajo;50;0%;-100%;Desconocido;;;
indemnizacion de art por accidente laboral;50;0%;0%;Medio;50;53.44;259.71
indemnizacion por accidente de transito en argentina;50;0%;0%;Medio;54;144.58;876.07
indemnizacion por amputacion dedo accidente laboral;50;0%;-100%;Desconocido;;;
indemnizacion por discapacidad art;50;0%;0%;Medio;44;43.05;211.76
indemnizacion por enfermedad;50;0%;0%;Bajo;24;34.08;155.39
indemnizacion por enfermedad laboral;50;0%;0%;Medio;44;38.16;102.49
indemnizacion por enfermedad profesional argentina;50;0%;0%;Alto;79;;
indemnizacion por hernia de disco lumbar art;50;0%;0%;Medio;57;64.45;262.30
indemnizacion por incapacidad del trabajador;50;0%;0%;Medio;34;36.26;157.95
indemnizacion por incapacidad laboral temporaria;50;0%;0%;Medio;34;36.24;161.10
indemnizacion por incapacidad permanente;50;0%;0%;Bajo;32;32.39;143.42
indemnizacion por invalidez;50;0%;0%;Bajo;32;33.78;163.94
indemnizacion por muerte accidente laboral;50;0%;0%;Bajo;19;;
indemnizacion por perdida capacidad laboral;50;0%;0%;Desconocido;;;
indemnizacion por perdida de capacidad laboral;50;0%;0%;Alto;100;;
indemnizacion por quemaduras en accidente laboral;50;0%;0%;Medio;45;41.47;393.19
indemnización amputación dedo;50;0%;0%;Desconocido;;;
indemnización de art;50;0%;0%;Medio;50;52.42;209.58
indemnización de trabajo;50;0%;0%;Medio;48;54.34;253.12
indemnización laboral por accidente de trabajo;50;0%;0%;Bajo;0;;
indemnización parcial;50;0%;0%;Bajo;11;;
indemnización por accidente de trayecto;50;0%;0%;Desconocido;;;
indemnización por accidente laboral 2020;50;0%;0%;Desconocido;;;
indemnización por amputación de un dedo;50;0%;0%;Bajo;29;;
indemnización por baja laboral;50;0%;∞;Bajo;0;;
indemnización por corte de dedo;50;0%;0%;Bajo;18;;
indemnización por dedo pulgar;50;0%;0%;Medio;64;36.12;209.91
indemnización por dedos mano;50;0%;0%;Bajo;29;;
indemnización por discapacidad laboral;50;0%;0%;Medio;37;33.63;95.58
indemnización por fallecimiento en accidente laboral;50;0%;0%;Bajo;4;;
indemnización por fractura de tibia y peroné;50;0%;0%;Desconocido;;;
indemnización por fractura de tibia y peroné en argentina;50;0%;0%;Medio;53;41.62;344.13
indemnización por hernia de disco;50;0%;0%;Medio;45;42.13;271.83
indemnización por hernia discal;50;0%;0%;Medio;43;;
indemnización por invalidez del trabajador;50;0%;0%;Bajo;29;;
indemnización por invalidez permanente;50;0%;0%;Medio;64;;
indemnización por lumbalgia en argentina;50;0%;-90%;Medio;49;59.80;471.65
indemnización por material osteosíntesis;50;0%;0%;Desconocido;;;
indemnización por muerte del trabajador en accidente de trabajo;50;0%;0%;Bajo;21;;
indemnización por muerte en el trabajo;50;0%;0%;Bajo;29;;
indemnización por muerte laboral;50;0%;0%;Medio;39;;
indemnización por protusión discal argentina;50;0%;0%;Bajo;29;54.78;196.16
indemnización por pérdida de un dedo perú;50;0%;0%;Desconocido;;;
indemnización por riesgo laboral;50;0%;0%;Desconocido;;;
indemnización por sordera;50;0%;0%;Bajo;29;;
indemnización por tendinitis muñeca;50;0%;0%;Medio;39;36.28;470.08
indemnización riesgo de trabajo;50;0%;-100%;Desconocido;;;
indice ripte como se calcula;50;0%;0%;Bajo;13;;
inflamación de discos intervertebrales;50;0%;0%;Bajo;0;;
inflamación discos columna;50;0%;0%;Bajo;14;;
infortunio laboral;50;0%;0%;Bajo;20;67.08;299.12
injerto de dedos dela mano;50;0%;∞;Bajo;3;;
invalidez por accidente de trabajo;50;0%;∞;Alto;71;;
invalidez por accidentes de trabajo y enfermedad profesional;50;0%;0%;Desconocido;;;
invalidez por hernia discal;50;0%;0%;Bajo;29;;
jubilación por hernia discal;50;0%;0%;Bajo;25;;
juicio a art por enfermedad profesional;50;0%;0%;Medio;50;59.31;182.03
juicio a art por hernia de disco;50;0%;0%;Bajo;30;59.91;298.49
juicio art cuanto tarda;50;0%;0%;Bajo;27;47.43;111.79
juicio art por incapacidad;50;0%;0%;Medio;38;71.96;368.62
juicio ganado por hernia de disco;50;0%;0%;Bajo;17;62.79;143.59
juicio por accidente laboral;50;0%;0%;Medio;38;49.89;358.64
juicio por enfermedad profesional;50;0%;0%;Medio;55;72.33;242.37
juicio por hernia de disco;50;0%;0%;Bajo;29;41.12;222.64
juicio por incapacidad laboral;50;0%;0%;Bajo;24;28.73;87.75
junta medica art;50;0%;0%;Bajo;3;;
junta medica por art;50;0%;0%;Bajo;20;37.91;162.22
junta médica art;50;0%;0%;Bajo;7;;
l1 l2 l5 s1;50;0%;0%;Desconocido;;;
l1s5 hernia;50;0%;-100%;Desconocido;;;
l4 l5 hernia discal;50;0%;0%;Bajo;4;;
l4 l5 l5 s1;50;0%;0%;Bajo;0;;
l4 l5 s1 hernia;50;0%;-100%;Desconocido;;;
l4 l5 y s1;50;0%;∞;Bajo;12;;
l5 a s1;50;0%;0%;Bajo;1;;
l5 l4;50;0%;0%;Bajo;0;;
l5 l4 s1;50;0%;-90%;Bajo;1;;
l5 l5 s1;50;0%;-100%;Desconocido;;;
l5 s1 dolor;50;0%;0%;Bajo;29;;
l5 s1 hernia discal;50;0%;0%;Bajo;13;14.63;41.62
l5 y s1;50;0%;0%;Bajo;2;;
la art cubre accidentes fuera del trabajo;50;0%;0%;Medio;38;102.24;343.05
la art cubre hernia de disco;50;0%;0%;Medio;39;41.44;186.95
la art cubre lumbalgia;50;0%;0%;Medio;36;48.35;250.98
la art le paga a mi abogado;50;0%;0%;Medio;38;72.45;228.76
la art no me paga el sueldo;50;0%;0%;Medio;44;109.08;496.94
la art paga el sueldo completo;50;0%;0%;Medio;33;34.29;121.22
la art paga por esguince de tobillo;50;0%;0%;Medio;44;51.95;342.10
la art puede rechazar un accidente;50;0%;0%;Medio;35;48.60;311.00
la art te paga el sueldo;50;0%;0%;Medio;34;40.02;340.57
la art te paga por accidente laboral;50;0%;0%;Medio;42;66.82;294.98
la art te paga por un esguince de tobillo;50;0%;0%;Medio;40;69.83;393.24
la fractura de perone se opera;50;0%;0%;Bajo;0;;
la hernia cervical se cura;50;0%;∞;Bajo;0;;
la hernia de disco;50;0%;0%;Bajo;13;15.30;41.04
la hernia de disco es una discapacidad;50;0%;0%;Bajo;10;41.28;41.47
la hernia de disco es una discapacidad en argentina;50;0%;0%;Bajo;16;41.02;729.11
la hernia de disco se opera;50;0%;0%;Bajo;16;3.98;41.28
la hernia discal duele;50;0%;∞;Bajo;7;;
la hernia discal es una enfermedad laboral;50;0%;-100%;Desconocido;;;
la hernia discal se cura;50;0%;0%;Bajo;7;;
la hernia discal se cura sola;50;0%;0%;Bajo;6;;
la hernia discal se opera;50;0%;∞;Bajo;29;;
la hernia en la columna tiene cura;50;0%;∞;Bajo;14;;
la hernia lumbar tiene cura;50;0%;0%;Bajo;19;19.11;42.61
la hernia se cura;50;0%;0%;Bajo;4;;
la hernia se cura sola;50;0%;0%;Bajo;2;;
la incapacidad laboral;50;0%;0%;Bajo;0;;
la ley de riesgo de trabajo;50;0%;0%;Bajo;1;;
la lumbalgia es una enfermedad profesional;50;0%;0%;Bajo;16;67.35;127.48
la protrusión discal es una enfermedad profesional;50;0%;0%;Bajo;19;24.88;113.32
la radiculopatía es una enfermedad profesional;50;0%;0%;Bajo;16;;
la tibia y peroné;50;0%;0%;Bajo;0;;
las hernias de disco;50;0%;0%;Bajo;16;;
las hernias de disco se operan;50;0%;0%;Bajo;19;12.90;41.68
las hernias discales;50;0%;0%;Bajo;21;;
las hernias discales se operan;50;0%;0%;Bajo;14;;
las hernias discales tienen cura;50;0%;-100%;Desconocido;;;
las hernias tienen cura;50;0%;0%;Bajo;4;;
lesion de disco lumbar;50;0%;0%;Bajo;8;;
lesion de discos lumbares;50;0%;0%;Bajo;8;;
lesion de tibia;50;0%;0%;Bajo;1;;
lesion de tibia y perone;50;0%;0%;Bajo;6;6.07;41.47
lesion discal;50;0%;0%;Bajo;7;;
lesion disco lumbar;50;0%;0%;Bajo;4;;
lesion en disco lumbar;50;0%;0%;Bajo;22;;
lesion l5 s1;50;0%;0%;Bajo;14;;
lesion tibia y perone;50;0%;0%;Bajo;3;;
lesiones de disco lumbar y tratamiento;50;0%;-100%;Desconocido;;;
lesiones en el perone;50;0%;0%;Bajo;7;;
lesiones en los discos de la columna vertebral;50;0%;0%;Bajo;11;;
lesión de peroné;50;0%;0%;Bajo;4;;
ley art argentina;50;0%;0%;Bajo;15;46.17;340.57
ley de accidentes de trabajo argentina;50;0%;-90%;Bajo;23;31.44;341.89
ley de art argentina;50;0%;0%;Bajo;12;31.85;341.72
ley de comisiones medicas;50;0%;0%;Bajo;2;;
ley de riesgo de trabajo argentina;50;0%;-90%;Bajo;14;29.67;115.16
licencia por accidente laboral;50;0%;0%;Bajo;18;67.27;310.81
licencia por hernia lumbar;50;0%;-100%;Desconocido;;;
liquidacion accidente de trabajo;50;0%;0%;Medio;39;37.72;259.71
liquidacion incapacidad por accidente de trabajo;50;0%;0%;Medio;54;66.66;168.46
liquidacion por accidente de trabajo;50;0%;0%;Medio;45;36.27;266.99
liquidacion por enfermedad laboral;50;0%;0%;Bajo;21;;
liquidacion por incapacidad laboral;50;0%;0%;Medio;35;41.80;105.32
los disco de la columna;50;0%;0%;Bajo;0;;
los discos de la columna;50;0%;0%;Bajo;0;;
los discos de la columna vertebral;50;0%;0%;Bajo;0;;
lumbago por hernia discal;50;0%;0%;Desconocido;;;
lumbalgia art;50;0%;0%;Bajo;17;13.48;93.48
lumbalgia después operación hernia discal;50;0%;0%;Desconocido;;;
lumbalgia enfermedad profesional argentina;50;0%;0%;Bajo;28;45.74;79.44
lumbalgia es enfermedad profesional;50;0%;0%;Bajo;11;;
lumbalgia es una enfermedad profesional;50;0%;0%;Bajo;16;;
lumbalgia hernia de disco;50;0%;0%;Bajo;15;33.17;180.72
lumbalgia por hernia discal;50;0%;0%;Bajo;13;;
lumbalgia post esfuerzo laboral;50;0%;0%;Bajo;17;13.07;83.44
lumbalgia y hernia discal;50;0%;0%;Bajo;29;18.70;49.25
lumbociatalgia enfermedad profesional;50;0%;0%;Bajo;19;27.56;140.21
luxofractura de perone;50;0%;0%;Bajo;0;;
mano con dedo amputado;50;0%;0%;Bajo;0;;
maria pistachia;50;0%;0%;Bajo;14;74.78;488.68
marin pistachia calculadora;50;0%;0%;Bajo;15;74.08;1786.54
marin pistachia calculadora indemnizacion;50;0%;0%;Bajo;17;177.05;1842.51
marin pistachia calculadora indemnizacion accidente trabajo;50;0%;0%;Bajo;33;161.49;1261.27
me corresponde indemnizacion por accidente laboral;50;0%;0%;Medio;49;72.09;395.48
me duele el disco de la columna;50;0%;0%;Bajo;7;;
me fracture el perone;50;0%;0%;Bajo;0;;
me pueden pensionar por hernia discal;50;0%;0%;Bajo;0;;
mejor ejercicio para hernia discal lumbar;50;0%;0%;Bajo;0;;
microcirugia de hernia discal lumbar;50;0%;0%;Medio;46;31.99;514.78
minimo abombamiento discal;50;0%;0%;Bajo;8;;
minimo indemnizacion art;50;0%;0%;Bajo;21;22.91;212.75
minusvalía por amputación dedo;50;0%;0%;Desconocido;;;
modelo de demanda por enfermedad profesional;50;0%;0%;Bajo;29;;
modelo de denuncia de enfermedad profesional;50;0%;0%;Bajo;14;19.97;141.81
modelo demanda accidente de trabajo;50;0%;0%;Bajo;14;;
modelo demanda accidente de trabajo 2019;50;0%;-100%;Desconocido;;;
modelo demanda enfermedad profesional;50;0%;0%;Bajo;23;;
modelo demanda enfermedad profesional no listada;50;0%;0%;Bajo;23;33.77;142.50
modelo demanda por accidente de trabajo;50;0%;0%;Bajo;29;56.56;380.30
modelo denuncia enfermedad profesional art;50;0%;0%;Bajo;7;;
modelo presentación comisión médica;50;0%;0%;Bajo;0;;
monto de indemnizacion por accidente laboral;50;0%;0%;Bajo;26;18.08;67.08
montos de indemnizaciones por accidentes laborales;50;0%;0%;Bajo;29;58.01;118.92
muerte en el trabajo indemnizacion;50;0%;0%;Bajo;14;48.49;225.51
multiples hernias discales;50;0%;0%;Medio;57;12.37;37.43
muñon de dedo;50;0%;0%;Bajo;0;;
nervio ciatico hernia discal;50;0%;0%;Bajo;6;;
nervio l4 l5;50;0%;0%;Bajo;0;;
operacion columna lumbar l5 s1;50;0%;0%;Bajo;31;;
operacion de columna hernia de disco;50;0%;0%;Medio;35;41.04;280.43
operacion de columna l4 l5 s1;50;0%;0%;Alto;71;;
operacion de columna l5 s1;50;0%;0%;Medio;38;;
operacion de columna por hernia discal;50;0%;0%;Bajo;14;;
operacion de disco;50;0%;0%;Bajo;8;;
operacion de disco de columna;50;0%;0%;Bajo;9;;
operacion de disco herniado;50;0%;∞;Bajo;0;;
operacion de discos herniados;50;0%;0%;Bajo;23;;
operacion de fractura de tibia;50;0%;0%;Bajo;17;;
operacion de hernia cervical;50;0%;0%;Bajo;24;15.60;256.19
operacion de hernia de disco 4 y 5 lumbar;50;0%;0%;Medio;38;41.28;324.67
operacion de hernia de disco en la columna;50;0%;0%;Medio;42;26.74;285.95
operacion de hernia de disco l5 s1;50;0%;0%;Bajo;21;31.42;345.86
operacion de hernia discal l5s1;50;0%;0%;Bajo;21;31.42;345.86
operacion de hernia discal lumbar l5 s1;50;0%;0%;Desconocido;;;
operacion de hernia lumbar l5 s1;50;0%;0%;Bajo;21;;
operacion de hernias discales lumbares;50;0%;0%;Bajo;0;;
operacion de l5 s1;50;0%;0%;Bajo;14;;
operacion de la tibia;50;0%;0%;Bajo;8;51.83;179.19
operacion de la tibia y perone;50;0%;-100%;Desconocido;;;
operacion de perone;50;0%;0%;Bajo;3;;
operacion de perone con placa y tornillos;50;0%;0%;Bajo;0;;
operacion de perone y tibia;50;0%;0%;Bajo;0;;
operacion de perone y tobillo;50;0%;0%;Bajo;3;;
operacion de tibia y perone con clavo;50;0%;0%;Bajo;0;;
operacion de tobillo tibia y perone;50;0%;∞;Bajo;17;;
operacion disco lumbar;50;0%;0%;Medio;35;22.65;271.08
operacion fractura perone;50;0%;0%;Bajo;0;;
operacion fractura tibia y perone;50;0%;∞;Bajo;4;;
operacion hernia discal cervical;50;0%;0%;Bajo;25;16.92;191.50
operacion hernia discal l3 l4;50;0%;0%;Medio;43;;
operacion hernia en la columna;50;0%;0%;Bajo;29;;
operacion hernia espalda;50;0%;0%;Desconocido;;;
operacion hernia l4 l5;50;0%;0%;Bajo;19;;
operacion l4 l5;50;0%;0%;Bajo;21;;
operacion l5 s1;50;0%;0%;Bajo;21;;
operacion lumbar l4 l5;50;0%;0%;Bajo;9;;
operacion lumbar l5 s1;50;0%;0%;Bajo;16;;
operacion perone;50;0%;0%;Bajo;3;;
operacion perone tobillo;50;0%;0%;Bajo;0;;
operacion por hernia discal;50;0%;0%;Bajo;10;;
operacion protusion discal;50;0%;0%;Alto;71;;
operacion tibia;50;0%;0%;Bajo;11;;
operacion tibia y perone;50;0%;0%;Bajo;8;2.11;67.09
operaciones de columna lumbar l5 s1;50;0%;0%;Medio;57;;
operación de hernia cervical;50;0%;0%;Bajo;12;;
operación de perone;50;0%;0%;Bajo;5;;
operación de protusión discal;50;0%;0%;Bajo;22;12.18;41.40
operación de tibia con placa y tornillos;50;0%;0%;Bajo;6;39.40;103.21
operación del peroné;50;0%;0%;Bajo;11;;
operación l5 s1;50;0%;0%;Desconocido;;;
operar hernia cervical;50;0%;0%;Bajo;21;;
operar hernia de disco;50;0%;0%;Medio;37;24.78;262.20
operar protusion discal;50;0%;-100%;Desconocido;;;
paga por accidente laboral;50;0%;-100%;Desconocido;;;
pago accidente de trabajo;50;0%;0%;Desconocido;;;
pago de accidente de trabajo;50;0%;-100%;Desconocido;;;
pago de art por accidente;50;0%;0%;Medio;45;41.44;266.13
pago de incapacidad por accidente laboral;50;0%;∞;Medio;54;56.18;165.37
pago de indemnizacion por perdida de capacidad laboral;50;0%;0%;Desconocido;;;
pago de indemnización por accidente laboral;50;0%;0%;Medio;52;;
pago de secuelas por accidente de trabajo;50;0%;0%;Desconocido;;;
pago incapacidad por accidente de trabajo;50;0%;0%;Desconocido;;;
para el dolor de hernia;50;0%;0%;Bajo;18;;
patología discal;50;0%;0%;Bajo;4;;
pension por hernia discal;50;0%;0%;Bajo;17;28.04;105.03
pensión por amputación dedos;50;0%;0%;Bajo;10;;
pensión por hernia de disco;50;0%;0%;Bajo;12;34.69;84.13
pensión por hernia de disco argentina;50;0%;0%;Bajo;21;22.39;41.29
pequeña hernia discal;50;0%;0%;Bajo;10;;
pequeña protrusión discal;50;0%;0%;Bajo;14;10.04;41.45
perdida de un dedo en el trabajo;50;0%;0%;Bajo;31;;
pericia médica art;50;0%;0%;Bajo;8;31.06;93.48
perone distal fractura;50;0%;0%;Bajo;4;;
perone fisura;50;0%;0%;Bajo;0;;
perone rotura;50;0%;0%;Bajo;10;;
perone tobillo;50;0%;0%;Bajo;0;;
perone y tobillo;50;0%;0%;Bajo;0;;
peroné roto;50;0%;-100%;Desconocido;;;
peroné tobillo;50;0%;0%;Bajo;0;;
pinzamiento de discos lumbares;50;0%;0%;Bajo;12;9.35;47.15
pinzamiento hernia discal;50;0%;0%;Bajo;6;;
pinzamiento l4 l5 y l5 s1;50;0%;0%;Bajo;3;;
piso minimo indemnizacion art;50;0%;0%;Bajo;22;3.98;286.32
placa en tibia y peroné;50;0%;0%;Bajo;0;;
placa tibia y perone;50;0%;0%;Bajo;9;;
plazo de la art para rechazar siniestro;50;0%;0%;Medio;43;;
plazo denuncia accidente de trabajo;50;0%;0%;Medio;57;;
plazo para apelar dictamen comision medica;50;0%;0%;Bajo;9;;
por accidente laboral cuanto se cobra;50;0%;0%;Bajo;4;;
por hernia discales tengo derecho a minusvalia;50;0%;0%;Bajo;21;;
por qué se producen las hernias discales;50;0%;-100%;Desconocido;;;
porcentaje art;50;0%;0%;Bajo;31;66.68;289.50
porcentaje de art;50;0%;0%;Bajo;22;56.02;287.07
